year,state,county,candidate,party,votes
2004,Arkansas,Stone,John Kerry,DEM,2255
2004,Arkansas,Stone,Other,Other,106
2004,Arkansas,Union,George W. Bush,REP,10502
2004,Arkansas,Union,John Kerry,DEM,7071
2004,Arkansas,Union,Other,Other,259
2004,Arkansas,Van Buren,George W. Bush,REP,3988
2004,Arkansas,Van Buren,John Kerry,DEM,3310
2004,Arkansas,Van Buren,Other,Other,76
2004,Arkansas,Washington,George W. Bush,REP,35726
2004,Arkansas,Washington,John Kerry,DEM,27597
2004,Arkansas,Washington,Other,Other,780
2004,Arkansas,White,George W. Bush,REP,17001
2004,Arkansas,White,John Kerry,DEM,9129
2004,Arkansas,White,Other,Other,295
2004,Arkansas,Woodruff,George W. Bush,REP,1021
2004,Arkansas,Woodruff,John Kerry,DEM,1972
2004,Arkansas,Woodruff,Other,Other,33
2004,Arkansas,Yell,George W. Bush,REP,3678
2004,Arkansas,Yell,John Kerry,DEM,2913
2004,Arkansas,Yell,Other,Other,68
2004,California,Alameda,George W. Bush,REP,130911
2004,California,Alameda,John Kerry,DEM,422585
2004,California,Alameda,Other,Other,7246
2004,California,Alpine,George W. Bush,REP,311
2004,California,Alpine,John Kerry,DEM,373
2004,California,Alpine,Other,Other,15
2004,California,Amador,George W. Bush,REP,10479
2004,California,Amador,John Kerry,DEM,6211
2004,California,Amador,Other,Other,189
2004,California,Butte,George W. Bush,REP,51662
2004,California,Butte,John Kerry,DEM,42448
2004,California,Butte,Other,Other,1625
2004,California,Calaveras,George W. Bush,REP,13601
2004,California,Calaveras,John Kerry,DEM,8286
2004,California,Calaveras,Other,Other,419
2004,California,Colusa,George W. Bush,REP,4142
2004,California,Colusa,John Kerry,DEM,1947
2004,California,Colusa,Other,Other,77
2004,California,Contra Costa,George W. Bush,REP,150608
2004,California,Contra Costa,John Kerry,DEM,257254
2004,California,Contra Costa,Other,Other,4277
2004,California,Del Norte,George W. Bush,REP,5356
2004,California,Del Norte,John Kerry,DEM,3892
2004,California,Del Norte,Other,Other,173
2004,California,El Dorado,George W. Bush,REP,52878
2004,California,El Dorado,John Kerry,DEM,32242
2004,California,El Dorado,Other,Other,1158
2004,California,Fresno,George W. Bush,REP,141988
2004,California,Fresno,John Kerry,DEM,103154
2004,California,Fresno,Other,Other,2018
2004,California,Glenn,George W. Bush,REP,6308
2004,California,Glenn,John Kerry,DEM,2995
2004,California,Glenn,Other,Other,132
2004,California,Humboldt,George W. Bush,REP,25714
2004,California,Humboldt,John Kerry,DEM,37988
2004,California,Humboldt,Other,Other,1808
2004,California,Imperial,George W. Bush,REP,11628
2004,California,Imperial,John Kerry,DEM,13955
2004,California,Imperial,Other,Other,319
2004,California,Inyo,George W. Bush,REP,4559
2004,California,Inyo,John Kerry,DEM,3021
2004,California,Inyo,Other,Other,138
2004,California,Kern,George W. Bush,REP,140417
2004,California,Kern,John Kerry,DEM,68603
2004,California,Kern,Other,Other,1838
2004,California,Kings,George W. Bush,REP,21003
2004,California,Kings,John Kerry,DEM,10833
2004,California,Kings,Other,Other,257
2004,California,Lake,George W. Bush,REP,8185
2004,California,Lake,John Kerry,DEM,9679
2004,California,Lake,Other,Other,302
2004,California,Lassen,George W. Bush,REP,8126
2004,California,Lassen,John Kerry,DEM,3158
2004,California,Lassen,Other,Other,153
2004,California,Los Angeles,George W. Bush,REP,1076225
2004,California,Los Angeles,John Kerry,DEM,1907736
2004,California,Los Angeles,Other,Other,37686
2004,California,Madera,George W. Bush,REP,24871
2004,California,Madera,John Kerry,DEM,13481
2004,California,Madera,Other,Other,428
2004,California,Marin,George W. Bush,REP,34378
2004,California,Marin,John Kerry,DEM,99070
2004,California,Marin,Other,Other,1471
2004,California,Mariposa,George W. Bush,REP,5215
2004,California,Mariposa,John Kerry,DEM,3251
2004,California,Mariposa,Other,Other,172
2004,California,Mendocino,George W. Bush,REP,12955
2004,California,Mendocino,John Kerry,DEM,24385
2004,California,Mendocino,Other,Other,839
2004,California,Merced,George W. Bush,REP,32773
2004,California,Merced,John Kerry,DEM,24491
2004,California,Merced,Other,Other,681
2004,California,Modoc,George W. Bush,REP,3235
2004,California,Modoc,John Kerry,DEM,1149
2004,California,Modoc,Other,Other,72
2004,California,Mono,George W. Bush,REP,2621
2004,California,Mono,John Kerry,DEM,2628
2004,California,Mono,Other,Other,81
2004,California,Monterey,George W. Bush,REP,47838
2004,California,Monterey,John Kerry,DEM,75241
2004,California,Monterey,Other,Other,1465
2004,California,Napa,George W. Bush,REP,22059
2004,California,Napa,John Kerry,DEM,33666
2004,California,Napa,Other,Other,740
2004,California,Nevada,George W. Bush,REP,28790
2004,California,Nevada,John Kerry,DEM,24220
2004,California,Nevada,Other,Other,729
2004,California,Orange,George W. Bush,REP,641832
2004,California,Orange,John Kerry,DEM,419239
2004,California,Orange,Other,Other,12225
2004,California,Placer,George W. Bush,REP,95969
2004,California,Placer,John Kerry,DEM,55573
2004,California,Placer,Other,Other,1403
2004,California,Plumas,George W. Bush,REP,6905
2004,California,Plumas,John Kerry,DEM,4129
2004,California,Plumas,Other,Other,144
2004,California,Riverside,George W. Bush,REP,322473
2004,California,Riverside,John Kerry,DEM,228806
2004,California,Riverside,Other,Other,5603
2004,California,Sacramento,George W. Bush,REP,235539
2004,California,Sacramento,John Kerry,DEM,236657
2004,California,Sacramento,Other,Other,4569
2004,California,San Benito,George W. Bush,REP,8698
2004,California,San Benito,John Kerry,DEM,9851
2004,California,San Benito,Other,Other,176
2004,California,San Bernardino,George W. Bush,REP,289306
2004,California,San Bernardino,John Kerry,DEM,227789
2004,California,San Bernardino,Other,Other,5682
2004,California,San Diego,George W. Bush,REP,596033
2004,California,San Diego,John Kerry,DEM,526437
2004,California,San Diego,Other,Other,11114
2004,California,San Francisco,George W. Bush,REP,54355
2004,California,San Francisco,John Kerry,DEM,296772
2004,California,San Francisco,Other,Other,4802
2004,California,San Joaquin,George W. Bush,REP,100978
2004,California,San Joaquin,John Kerry,DEM,87012
2004,California,San Joaquin,Other,Other,1515
2004,California,San Luis Obispo,George W. Bush,REP,67995
2004,California,San Luis Obispo,John Kerry,DEM,58742
2004,California,San Luis Obispo,Other,Other,1910
2004,California,San Mateo,George W. Bush,REP,83315
2004,California,San Mateo,John Kerry,DEM,197922
2004,California,San Mateo,Other,Other,2840
2004,California,Santa Barbara,George W. Bush,REP,76806
2004,California,Santa Barbara,John Kerry,DEM,90314
2004,California,Santa Barbara,Other,Other,2005
2004,California,Santa Clara,George W. Bush,REP,209094
2004,California,Santa Clara,John Kerry,DEM,386100
2004,California,Santa Clara,Other,Other,7420
2004,California,Santa Cruz,George W. Bush,REP,30354
2004,California,Santa Cruz,John Kerry,DEM,89102
2004,California,Santa Cruz,Other,Other,2277
2004,California,Shasta,George W. Bush,REP,52249
2004,California,Shasta,John Kerry,DEM,24339
2004,California,Shasta,Other,Other,983
2004,California,Sierra,George W. Bush,REP,1249
2004,California,Sierra,John Kerry,DEM,646
2004,California,Sierra,Other,Other,50
2004,California,Siskiyou,George W. Bush,REP,12673
2004,California,Siskiyou,John Kerry,DEM,7880
2004,California,Siskiyou,Other,Other,310
2004,California,Solano,George W. Bush,REP,62301
2004,California,Solano,John Kerry,DEM,85096
2004,California,Solano,Other,Other,1349
2004,California,Sonoma,George W. Bush,REP,68204
2004,California,Sonoma,John Kerry,DEM,148261
2004,California,Sonoma,Other,Other,3612
2004,California,Stanislaus,George W. Bush,REP,85407
2004,California,Stanislaus,John Kerry,DEM,58829
2004,California,Stanislaus,Other,Other,1278
2004,California,Sutter,George W. Bush,REP,20254
2004,California,Sutter,John Kerry,DEM,9602
2004,California,Sutter,Other,Other,289
2004,California,Tehama,George W. Bush,REP,15572
2004,California,Tehama,John Kerry,DEM,7504
2004,California,Tehama,Other,Other,329
2004,California,Trinity,George W. Bush,REP,3560
2004,California,Trinity,John Kerry,DEM,2782
2004,California,Trinity,Other,Other,137
2004,California,Tulare,George W. Bush,REP,65399
2004,California,Tulare,John Kerry,DEM,32494
2004,California,Tulare,Other,Other,846
2004,California,Tuolumne,George W. Bush,REP,15745
2004,California,Tuolumne,John Kerry,DEM,10104
2004,California,Tuolumne,Other,Other,339
2004,California,Ventura,George W. Bush,REP,160314
2004,California,Ventura,John Kerry,DEM,148859
2004,California,Ventura,Other,Other,3736
2004,California,Yolo,George W. Bush,REP,28005
2004,California,Yolo,John Kerry,DEM,42885
2004,California,Yolo,Other,Other,1119
2004,California,Yuba,George W. Bush,REP,12076
2004,California,Yuba,John Kerry,DEM,5687
2004,California,Yuba,Other,Other,257
2004,Colorado,Adams,George W. Bush,REP,65912
2004,Colorado,Adams,John Kerry,DEM,69122
2004,Colorado,Adams,Other,Other,1638
2004,Colorado,Alamosa,George W. Bush,REP,3179
2004,Colorado,Alamosa,John Kerry,DEM,3017
2004,Colorado,Alamosa,Other,Other,73
2004,Colorado,Arapahoe,George W. Bush,REP,119475
2004,Colorado,Arapahoe,John Kerry,DEM,110262
2004,Colorado,Arapahoe,Other,Other,2434
2004,Colorado,Archuleta,George W. Bush,REP,3601
2004,Colorado,Archuleta,John Kerry,DEM,2141
2004,Colorado,Archuleta,Other,Other,97
2004,Colorado,Baca,George W. Bush,REP,1680
2004,Colorado,Baca,John Kerry,DEM,483
2004,Colorado,Baca,Other,Other,23
2004,Colorado,Bent,George W. Bush,REP,1338
2004,Colorado,Bent,John Kerry,DEM,785
2004,Colorado,Bent,Other,Other,32
2004,Colorado,Boulder,George W. Bush,REP,51586
2004,Colorado,Boulder,John Kerry,DEM,105564
2004,Colorado,Boulder,Other,Other,2107
2004,Colorado,Broomfield,George W. Bush,REP,12007
2004,Colorado,Broomfield,John Kerry,DEM,10935
2004,Colorado,Broomfield,Other,Other,293
2004,Colorado,Chaffee,George W. Bush,REP,4875
2004,Colorado,Chaffee,John Kerry,DEM,3766
2004,Colorado,Chaffee,Other,Other,128
2004,Colorado,Cheyenne,George W. Bush,REP,923
2004,Colorado,Cheyenne,John Kerry,DEM,198
2004,Colorado,Cheyenne,Other,Other,13
2004,Colorado,Clear Creek,George W. Bush,REP,2522
2004,Colorado,Clear Creek,John Kerry,DEM,2989
2004,Colorado,Clear Creek,Other,Other,102
2004,Colorado,Conejos,George W. Bush,REP,1864
2004,Colorado,Conejos,John Kerry,DEM,1894
2004,Colorado,Conejos,Other,Other,42
2004,Colorado,Costilla,George W. Bush,REP,566
2004,Colorado,Costilla,John Kerry,DEM,1170
2004,Colorado,Costilla,Other,Other,23
2004,Colorado,Crowley,George W. Bush,REP,1006
2004,Colorado,Crowley,John Kerry,DEM,478
2004,Colorado,Crowley,Other,Other,9
2004,Colorado,Custer,George W. Bush,REP,1657
2004,Colorado,Custer,John Kerry,DEM,739
2004,Colorado,Custer,Other,Other,32
2004,Colorado,Delta,George W. Bush,REP,9722
2004,Colorado,Delta,John Kerry,DEM,4224
2004,Colorado,Delta,Other,Other,213
2004,Colorado,Denver,George W. Bush,REP,69903
2004,Colorado,Denver,John Kerry,DEM,166135
2004,Colorado,Denver,Other,Other,2634
2004,Colorado,Dolores,George W. Bush,REP,785
2004,Colorado,Dolores,John Kerry,DEM,333
2004,Colorado,Dolores,Other,Other,28
2004,Colorado,Douglas,George W. Bush,REP,80651
2004,Colorado,Douglas,John Kerry,DEM,39661
2004,Colorado,Douglas,Other,Other,888
2004,Colorado,Eagle,George W. Bush,REP,8533
2004,Colorado,Eagle,John Kerry,DEM,9744
2004,Colorado,Eagle,Other,Other,234
2004,Colorado,El Paso,George W. Bush,REP,161361
2004,Colorado,El Paso,John Kerry,DEM,77648
2004,Colorado,El Paso,Other,Other,2777
2004,Colorado,Elbert,George W. Bush,REP,8389
2004,Colorado,Elbert,John Kerry,DEM,2834
2004,Colorado,Elbert,Other,Other,138
2004,Colorado,Fremont,George W. Bush,REP,12313
2004,Colorado,Fremont,John Kerry,DEM,5933
2004,Colorado,Fremont,Other,Other,277
2004,Colorado,Garfield,George W. Bush,REP,11123
2004,Colorado,Garfield,John Kerry,DEM,9228
2004,Colorado,Garfield,Other,Other,296
2004,Colorado,Gilpin,George W. Bush,REP,1329
2004,Colorado,Gilpin,John Kerry,DEM,1807
2004,Colorado,Gilpin,Other,Other,60
2004,Colorado,Grand,George W. Bush,REP,4260
2004,Colorado,Grand,John Kerry,DEM,3243
2004,Colorado,Grand,Other,Other,106
2004,Colorado,Gunnison,George W. Bush,REP,3479
2004,Colorado,Gunnison,John Kerry,DEM,4782
2004,Colorado,Gunnison,Other,Other,159
2004,Colorado,Hinsdale,George W. Bush,REP,355
2004,Colorado,Hinsdale,John Kerry,DEM,236
2004,Colorado,Hinsdale,Other,Other,11
2004,Colorado,Huerfano,George W. Bush,REP,1700
2004,Colorado,Huerfano,John Kerry,DEM,1663
2004,Colorado,Huerfano,Other,Other,39
2004,Colorado,Jackson,George W. Bush,REP,710
2004,Colorado,Jackson,John Kerry,DEM,210
2004,Colorado,Jackson,Other,Other,14
2004,Colorado,Jefferson,George W. Bush,REP,140644
2004,Colorado,Jefferson,John Kerry,DEM,126558
2004,Colorado,Jefferson,Other,Other,4091
2004,Colorado,Kiowa,George W. Bush,REP,712
2004,Colorado,Kiowa,John Kerry,DEM,172
2004,Colorado,Kiowa,Other,Other,8
2004,Colorado,Kit Carson,George W. Bush,REP,2721
2004,Colorado,Kit Carson,John Kerry,DEM,729
2004,Colorado,Kit Carson,Other,Other,52
2004,Colorado,La Plata,George W. Bush,REP,11704
2004,Colorado,La Plata,John Kerry,DEM,13409
2004,Colorado,La Plata,Other,Other,377
2004,Colorado,Lake,George W. Bush,REP,1261
2004,Colorado,Lake,John Kerry,DEM,1623
2004,Colorado,Lake,Other,Other,65
2004,Colorado,Larimer,George W. Bush,REP,75884
2004,Colorado,Larimer,John Kerry,DEM,68266
2004,Colorado,Larimer,Other,Other,2285
2004,Colorado,Las Animas,George W. Bush,REP,3196
2004,Colorado,Las Animas,John Kerry,DEM,3300
2004,Colorado,Las Animas,Other,Other,91
2004,Colorado,Lincoln,George W. Bush,REP,1819
2004,Colorado,Lincoln,John Kerry,DEM,503
2004,Colorado,Lincoln,Other,Other,15
2004,Colorado,Logan,George W. Bush,REP,6168
2004,Colorado,Logan,John Kerry,DEM,2491
2004,Colorado,Logan,Other,Other,107
2004,Colorado,Mesa,George W. Bush,REP,41539
2004,Colorado,Mesa,John Kerry,DEM,19564
2004,Colorado,Mesa,Other,Other,782
2004,Colorado,Mineral,George W. Bush,REP,383
2004,Colorado,Mineral,John Kerry,DEM,227
2004,Colorado,Mineral,Other,Other,9
2004,Colorado,Moffat,George W. Bush,REP,4247
2004,Colorado,Moffat,John Kerry,DEM,1355
2004,Colorado,Moffat,Other,Other,123
2004,Colorado,Montezuma,George W. Bush,REP,6988
2004,Colorado,Montezuma,John Kerry,DEM,3867
2004,Colorado,Montezuma,Other,Other,160
2004,Colorado,Montrose,George W. Bush,REP,11218
2004,Colorado,Montrose,John Kerry,DEM,4776
2004,Colorado,Montrose,Other,Other,225
2004,Colorado,Morgan,George W. Bush,REP,6787
2004,Colorado,Morgan,John Kerry,DEM,3039
2004,Colorado,Morgan,Other,Other,110
2004,Colorado,Otero,George W. Bush,REP,4947
2004,Colorado,Otero,John Kerry,DEM,3164
2004,Colorado,Otero,Other,Other,69
2004,Colorado,Ouray,George W. Bush,REP,1402
2004,Colorado,Ouray,John Kerry,DEM,1278
2004,Colorado,Ouray,Other,Other,39
2004,Colorado,Park,George W. Bush,REP,4781
2004,Colorado,Park,John Kerry,DEM,3445
2004,Colorado,Park,Other,Other,129
2004,Colorado,Phillips,George W. Bush,REP,1717
2004,Colorado,Phillips,John Kerry,DEM,582
2004,Colorado,Phillips,Other,Other,26
2004,Colorado,Pitkin,George W. Bush,REP,2784
2004,Colorado,Pitkin,John Kerry,DEM,6335
2004,Colorado,Pitkin,Other,Other,136
2004,Colorado,Prowers,George W. Bush,REP,3392
2004,Colorado,Prowers,John Kerry,DEM,1308
2004,Colorado,Prowers,Other,Other,45
2004,Colorado,Pueblo,George W. Bush,REP,31117
2004,Colorado,Pueblo,John Kerry,DEM,35369
2004,Colorado,Pueblo,Other,Other,696
2004,Colorado,Rio Blanco,George W. Bush,REP,2403
2004,Colorado,Rio Blanco,John Kerry,DEM,566
2004,Colorado,Rio Blanco,Other,Other,34
2004,Colorado,Rio Grande,George W. Bush,REP,3448
2004,Colorado,Rio Grande,John Kerry,DEM,2006
2004,Colorado,Rio Grande,Other,Other,69
2004,Colorado,Routt,George W. Bush,REP,5199
2004,Colorado,Routt,John Kerry,DEM,6392
2004,Colorado,Routt,Other,Other,170
2004,Colorado,Saguache,George W. Bush,REP,1163
2004,Colorado,Saguache,John Kerry,DEM,1594
2004,Colorado,Saguache,Other,Other,46
2004,Colorado,San Juan,George W. Bush,REP,216
2004,Colorado,San Juan,John Kerry,DEM,253
2004,Colorado,San Juan,Other,Other,17
2004,Colorado,San Miguel,George W. Bush,REP,1079
2004,Colorado,San Miguel,John Kerry,DEM,2876
2004,Colorado,San Miguel,Other,Other,64
2004,Colorado,Sedgwick,George W. Bush,REP,971
2004,Colorado,Sedgwick,John Kerry,DEM,374
2004,Colorado,Sedgwick,Other,Other,15
2004,Colorado,Summit,George W. Bush,REP,5370
2004,Colorado,Summit,John Kerry,DEM,8144
2004,Colorado,Summit,Other,Other,221
2004,Colorado,Teller,George W. Bush,REP,8094
2004,Colorado,Teller,John Kerry,DEM,3556
2004,Colorado,Teller,Other,Other,190
2004,Colorado,Washington,George W. Bush,REP,2050
2004,Colorado,Washington,John Kerry,DEM,455
2004,Colorado,Washington,Other,Other,25
2004,Colorado,Weld,George W. Bush,REP,55591
2004,Colorado,Weld,John Kerry,DEM,31868
2004,Colorado,Weld,Other,Other,1193
2004,Colorado,Yuma,George W. Bush,REP,3456
2004,Colorado,Yuma,John Kerry,DEM,1064
2004,Colorado,Yuma,Other,Other,39
2004,Connecticut,Fairfield,George W. Bush,REP,189605
2004,Connecticut,Fairfield,John Kerry,DEM,205902
2004,Connecticut,Fairfield,Other,Other,5460
2004,Connecticut,Hartford,George W. Bush,REP,154919
2004,Connecticut,Hartford,John Kerry,DEM,229902
2004,Connecticut,Hartford,Other,Other,6987
2004,Connecticut,Litchfield,George W. Bush,REP,50160
2004,Connecticut,Litchfield,John Kerry,DEM,44647
2004,Connecticut,Litchfield,Other,Other,1861
2004,Connecticut,Middlesex,George W. Bush,REP,35252
2004,Connecticut,Middlesex,John Kerry,DEM,47292
2004,Connecticut,Middlesex,Other,Other,1440
2004,Connecticut,New Haven,George W. Bush,REP,160390
2004,Connecticut,New Haven,John Kerry,DEM,199060
2004,Connecticut,New Haven,Other,Other,6942
2004,Connecticut,New London,George W. Bush,REP,49931
2004,Connecticut,New London,John Kerry,DEM,66062
2004,Connecticut,New London,Other,Other,2367
2004,Connecticut,Statewide writein,George W. Bush,REP,NA
2004,Connecticut,Statewide writein,John Kerry,DEM,NA
2004,Connecticut,Statewide writein,Other,Other,NA
2004,Connecticut,Tolland,George W. Bush,REP,31245
2004,Connecticut,Tolland,John Kerry,DEM,39146
2004,Connecticut,Tolland,Other,Other,1338
2004,Connecticut,Windham,George W. Bush,REP,22324
2004,Connecticut,Windham,John Kerry,DEM,25477
2004,Connecticut,Windham,Other,Other,1060
2004,Delaware,Kent,George W. Bush,REP,31578
2004,Delaware,Kent,John Kerry,DEM,23872
2004,Delaware,Kent,Other,Other,527
2004,Delaware,New Castle,George W. Bush,REP,93070
2004,Delaware,New Castle,John Kerry,DEM,146171
2004,Delaware,New Castle,Other,Other,2203
2004,Delaware,Sussex,George W. Bush,REP,47003
2004,Delaware,Sussex,John Kerry,DEM,30098
2004,Delaware,Sussex,Other,Other,648
2004,District of Columbia,District of Columbia,George W. Bush,REP,21256
2004,District of Columbia,District of Columbia,John Kerry,DEM,202970
2004,District of Columbia,District of Columbia,Other,Other,3360
2004,Florida,Alachua,George W. Bush,REP,47762
2004,Florida,Alachua,John Kerry,DEM,62504
2004,Florida,Alachua,Other,Other,1062
2004,Florida,Baker,George W. Bush,REP,7738
2004,Florida,Baker,John Kerry,DEM,2180
2004,Florida,Baker,Other,Other,37
2004,Florida,Bay,George W. Bush,REP,53404
2004,Florida,Bay,John Kerry,DEM,21068
2004,Florida,Bay,Other,Other,552
2004,Florida,Bradford,George W. Bush,REP,7557
2004,Florida,Bradford,John Kerry,DEM,3244
2004,Florida,Bradford,Other,Other,54
2004,Florida,Brevard,George W. Bush,REP,153068
2004,Florida,Brevard,John Kerry,DEM,110309
2004,Florida,Brevard,Other,Other,2085
2004,Florida,Broward,George W. Bush,REP,244674
2004,Florida,Broward,John Kerry,DEM,453873
2004,Florida,Broward,Other,Other,8325
2004,Florida,Calhoun,George W. Bush,REP,3782
2004,Florida,Calhoun,John Kerry,DEM,2116
2004,Florida,Calhoun,Other,Other,65
2004,Florida,Charlotte,George W. Bush,REP,44428
2004,Florida,Charlotte,John Kerry,DEM,34256
2004,Florida,Charlotte,Other,Other,1102
2004,Florida,Citrus,George W. Bush,REP,39500
2004,Florida,Citrus,John Kerry,DEM,29277
2004,Florida,Citrus,Other,Other,690
2004,Florida,Clay,George W. Bush,REP,62078
2004,Florida,Clay,John Kerry,DEM,18971
2004,Florida,Clay,Other,Other,446
2004,Florida,Collier,George W. Bush,REP,83631
2004,Florida,Collier,John Kerry,DEM,43892
2004,Florida,Collier,Other,Other,1160
2004,Florida,Columbia,George W. Bush,REP,16758
2004,Florida,Columbia,John Kerry,DEM,8031
2004,Florida,Columbia,Other,Other,202
2004,Florida,Desoto,George W. Bush,REP,5524
2004,Florida,Desoto,John Kerry,DEM,3913
2004,Florida,Desoto,Other,Other,73
2004,Florida,Dixie,George W. Bush,REP,4434
2004,Florida,Dixie,John Kerry,DEM,1960
2004,Florida,Dixie,Other,Other,48
2004,Florida,Duval,George W. Bush,REP,220190
2004,Florida,Duval,John Kerry,DEM,158610
2004,Florida,Duval,Other,Other,2261
2004,Florida,Escambia,George W. Bush,REP,93566
2004,Florida,Escambia,John Kerry,DEM,48329
2004,Florida,Escambia,Other,Other,1383
2004,Florida,Flagler,George W. Bush,REP,19633
2004,Florida,Flagler,John Kerry,DEM,18578
2004,Florida,Flagler,Other,Other,269
2004,Florida,Franklin,George W. Bush,REP,3472
2004,Florida,Franklin,John Kerry,DEM,2401
2004,Florida,Franklin,Other,Other,58
2004,Florida,Gadsden,George W. Bush,REP,6253
2004,Florida,Gadsden,John Kerry,DEM,14629
2004,Florida,Gadsden,Other,Other,102
2004,Florida,Gilchrist,George W. Bush,REP,4936
2004,Florida,Gilchrist,John Kerry,DEM,2017
2004,Florida,Gilchrist,Other,Other,62
2004,Florida,Glades,George W. Bush,REP,2443
2004,Florida,Glades,John Kerry,DEM,1718
2004,Florida,Glades,Other,Other,27
2004,Florida,Gulf,George W. Bush,REP,4805
2004,Florida,Gulf,John Kerry,DEM,2407
2004,Florida,Gulf,Other,Other,65
2004,Florida,Hamilton,George W. Bush,REP,2792
2004,Florida,Hamilton,John Kerry,DEM,2260
2004,Florida,Hamilton,Other,Other,27
2004,Florida,Hardee,George W. Bush,REP,5049
2004,Florida,Hardee,John Kerry,DEM,2149
2004,Florida,Hardee,Other,Other,51
2004,Florida,Hendry,George W. Bush,REP,5757
2004,Florida,Hendry,John Kerry,DEM,3960
2004,Florida,Hendry,Other,Other,58
2004,Florida,Hernando,George W. Bush,REP,42635
2004,Florida,Hernando,John Kerry,DEM,37187
2004,Florida,Hernando,Other,Other,725
2004,Florida,Highlands,George W. Bush,REP,25878
2004,Florida,Highlands,John Kerry,DEM,15347
2004,Florida,Highlands,Other,Other,271
2004,Florida,Hillsborough,George W. Bush,REP,245576
2004,Florida,Hillsborough,John Kerry,DEM,214132
2004,Florida,Hillsborough,Other,Other,3514
2004,Florida,Holmes,George W. Bush,REP,6412
2004,Florida,Holmes,John Kerry,DEM,1810
2004,Florida,Holmes,Other,Other,78
2004,Florida,Indian River,George W. Bush,REP,36938
2004,Florida,Indian River,John Kerry,DEM,23956
2004,Florida,Indian River,Other,Other,520
2004,Florida,Jackson,George W. Bush,REP,12122
2004,Florida,Jackson,John Kerry,DEM,7555
2004,Florida,Jackson,Other,Other,130
2004,Florida,Jefferson,George W. Bush,REP,3298
2004,Florida,Jefferson,John Kerry,DEM,4135
2004,Florida,Jefferson,Other,Other,45
2004,Florida,Lafayette,George W. Bush,REP,2460
2004,Florida,Lafayette,John Kerry,DEM,845
2004,Florida,Lafayette,Other,Other,20
2004,Florida,Lake,George W. Bush,REP,74389
2004,Florida,Lake,John Kerry,DEM,48221
2004,Florida,Lake,Other,Other,1340
2004,Florida,Lee,George W. Bush,REP,144176
2004,Florida,Lee,John Kerry,DEM,93860
2004,Florida,Lee,Other,Other,2631
2004,Florida,Leon,George W. Bush,REP,51615
2004,Florida,Leon,John Kerry,DEM,83873
2004,Florida,Leon,Other,Other,891
2004,Florida,Levy,George W. Bush,REP,10410
2004,Florida,Levy,John Kerry,DEM,6074
2004,Florida,Levy,Other,Other,168
2004,Florida,Liberty,George W. Bush,REP,1927
2004,Florida,Liberty,John Kerry,DEM,1070
2004,Florida,Liberty,Other,Other,24
2004,Florida,Madison,George W. Bush,REP,4191
2004,Florida,Madison,John Kerry,DEM,4050
2004,Florida,Madison,Other,Other,63
2004,Florida,Manatee,George W. Bush,REP,81318
2004,Florida,Manatee,John Kerry,DEM,61262
2004,Florida,Manatee,Other,Other,1041
2004,Florida,Marion,George W. Bush,REP,81283
2004,Florida,Marion,John Kerry,DEM,57271
2004,Florida,Marion,Other,Other,1123
2004,Florida,Martin,George W. Bush,REP,41362
2004,Florida,Martin,John Kerry,DEM,30208
2004,Florida,Martin,Other,Other,883
2004,Florida,Miami-Dade,George W. Bush,REP,361095
2004,Florida,Miami-Dade,John Kerry,DEM,409732
2004,Florida,Miami-Dade,Other,Other,3899
2004,Florida,Monroe,George W. Bush,REP,19467
2004,Florida,Monroe,John Kerry,DEM,19654
2004,Florida,Monroe,Other,Other,414
2004,Florida,Nassau,George W. Bush,REP,23783
2004,Florida,Nassau,John Kerry,DEM,8573
2004,Florida,Nassau,Other,Other,387
2004,Florida,Okaloosa,George W. Bush,REP,69693
2004,Florida,Okaloosa,John Kerry,DEM,19368
2004,Florida,Okaloosa,Other,Other,695
2004,Florida,Okeechobee,George W. Bush,REP,6978
2004,Florida,Okeechobee,John Kerry,DEM,5153
2004,Florida,Okeechobee,Other,Other,59
2004,Florida,Orange,George W. Bush,REP,192539
2004,Florida,Orange,John Kerry,DEM,193354
2004,Florida,Orange,Other,Other,2151
2004,Florida,Osceola,George W. Bush,REP,43117
2004,Florida,Osceola,John Kerry,DEM,38633
2004,Florida,Osceola,Other,Other,454
2004,Florida,Palm Beach,George W. Bush,REP,212688
2004,Florida,Palm Beach,John Kerry,DEM,328687
2004,Florida,Palm Beach,Other,Other,3247
2004,Florida,Pasco,George W. Bush,REP,103230
2004,Florida,Pasco,John Kerry,DEM,84749
2004,Florida,Pasco,Other,Other,2937
2004,Florida,Pinellas,George W. Bush,REP,225686
2004,Florida,Pinellas,John Kerry,DEM,225460
2004,Florida,Pinellas,Other,Other,4211
2004,Florida,Polk,George W. Bush,REP,123559
2004,Florida,Polk,John Kerry,DEM,86009
2004,Florida,Polk,Other,Other,1262
2004,Florida,Putnam,George W. Bush,REP,18311
2004,Florida,Putnam,John Kerry,DEM,12412
2004,Florida,Putnam,Other,Other,250
2004,Florida,Santa Rosa,George W. Bush,REP,52059
2004,Florida,Santa Rosa,John Kerry,DEM,14659
2004,Florida,Santa Rosa,Other,Other,589
2004,Florida,Sarasota,George W. Bush,REP,104692
2004,Florida,Sarasota,John Kerry,DEM,88442
2004,Florida,Sarasota,Other,Other,2518
2004,Florida,Seminole,George W. Bush,REP,108172
